Sample;x;y;Ca
1;0;1400;3.359282732
2;100;1400;3.579777241
3;200;1400;3.456385136
4;300;1400;3.350428343
5;400;1400;3.178049564
6;500;1400;3.123295307
7;600;1400;3.285880089
8;700;1400;3.281721115
9;800;1400;3.5527246
10;900;1400;3.48398447
11;1000;1400;3.41168642
12;1100;1400;3.375507355
13;1200;1400;3.413995266
14;1300;1400;3.493227959
15;0;1300;3.478560448
16;100;1300;3.589071035
17;200;1300;3.590432644
18;300;1300;3.369171858
19;400;1300;3.170130253
20;500;1300;3.133083344
21;600;1300;3.319055319
22;700;1300;3.418192863
23;800;1300;3.526801109
24;900;1300;3.552105665
25;1000;1300;3.523830175
26;1100;1300;3.332919836
27;1200;1300;3.320244312
28;1300;1300;3.580177784
29;0;1200;3.408189297
30;100;1200;3.578983068
31;200;1200;3.59854269
32;300;1200;3.392053843
33;400;1200;3.30130434
34;500;1200;3.340215445
35;600;1200;3.453159332
36;700;1200;3.450623035
37;800;1200;3.519462824
38;900;1200;3.432384491
39;1000;1200;3.407574892
40;1100;1200;3.314651489
41;1200;1200;3.351862907
42;1300;1200;3.449783564
43;0;1100;3.48418951
44;100;1100;3.44976306
45;200;1100;3.389370203
46;300;1100;3.422802925
47;400;1100;3.303897381
48;500;1100;3.45033288
49;600;1100;3.453254223
50;700;1100;3.447942257
51;800;1100;3.380184412
52;900;1100;3.346968412
53;1000;1100;3.312217236
54;1100;1100;3.173480034
55;1200;1100;3.265804529
56;1300;1100;3.384993792
57;0;1000;3.367968082
58;100;1000;3.43784833
59;200;1000;3.429163218
60;300;1000;3.375259161
61;400;1000;3.390377045
62;500;1000;3.362238407
63;600;1000;3.502953053
64;700;1000;3.444898844
65;800;1000;3.26367116
66;900;1000;3.231682301
67;1000;1000;3.253885269
68;1100;1000;3.217658997
69;1200;1000;3.160271883
70;1300;1000;3.244550943
71;0;900;3.106534004
72;100;900;3.435015678
73;200;900;3.434671164
74;300;900;3.437358856
75;400;900;3.29530549
76;500;900;3.3748703
77;600;900;3.373725176
78;700;900;3.302114964
79;800;900;3.161816597
80;900;900;3.105831385
81;1000;900;3.173460245
82;1100;900;3.124663115
83;1200;900;3.168396473
84;1300;900;3.350415707
85;0;800;3.141070366
86;100;800;3.377235174
87;200;800;3.557458401
88;300;800;3.46888423
89;400;800;3.486270666
90;500;800;3.408827543
91;600;800;3.327201366
92;700;800;3.330664396
93;800;800;3.345427036
94;900;800;3.127737522
95;1000;800;3.174440384
96;1100;800;3.142612934
97;1200;800;3.15197134
98;1300;800;3.392421961
99;0;700;3.362782001
100;100;700;3.350804567
101;200;700;3.566547871
102;300;700;3.52422142
103;400;700;3.414696217
104;500;700;3.425263405
105;600;700;3.364842653
106;700;700;3.277895451
107;800;700;3.272250891
108;900;700;3.2733953
109;1000;700;3.301842213
110;1100;700;3.158948421
111;1200;700;3.299139261
112;1300;700;3.235996246
113;0;600;3.401147604
114;100;600;3.381311655
115;200;600;3.375518084
116;300;600;3.424317598
117;400;600;3.425645828
118;500;600;3.464494228
119;600;600;3.406726122
120;700;600;3.266301632
121;800;600;3.316325903
122;900;600;3.267581701
123;1000;600;3.416738033
124;1100;600;3.350022793
125;1200;600;3.267490864
126;1300;600;3.324571848
127;0;500;3.20236516
128;100;500;3.331813097
129;200;500;3.180152178
130;300;500;3.276563883
131;400;500;3.332180262
132;500;500;3.317525864
133;600;500;3.246957541
134;700;500;3.222575188
135;800;500;3.401203871
136;900;500;3.443716526
137;1000;500;3.450997591
138;1100;500;3.403572321
139;1200;500;3.381530762
140;1300;500;3.416442394
141;0;400;3.184911728
142;100;400;3.016877174
143;200;400;3.10783577
144;300;400;3.101472139
145;400;400;3.25556016
146;500;400;3.319336414
147;600;400;3.300806284
148;700;400;3.350221395
149;800;400;3.499304533
150;900;400;3.4977777
151;1000;400;3.35473609
152;1100;400;3.405021429
153;1200;400;3.320013046
154;1300;400;3.409256935
155;0;300;3.272393465
156;100;300;3.246288061
157;200;300;3.252572775
158;300;300;3.296762228
159;400;300;3.222717762
160;500;300;3.389652491
161;600;300;3.510509253
162;700;300;3.56690073
163;800;300;3.526687145
164;900;300;3.548716784
165;1000;300;3.358605385
166;1100;300;3.338049412
167;1200;300;3.319951296
168;1300;300;3.279306412
169;0;200;3.180635214
170;100;200;3.254360676
171;200;200;3.297162771
172;300;200;3.243520021
173;400;200;3.375388861
174;500;200;3.469831467
175;600;200;3.485995531
176;700;200;3.64164114
177;800;200;3.614611387
178;900;200;3.515021563
179;1000;200;3.299990892
180;1100;200;3.217001915
181;1200;200;3.251165628
182;1300;200;3.236950397
183;0;100;3.132264137
184;100;100;3.145044565
185;200;100;3.323342085
186;300;100;3.326990366
187;400;100;3.231525183
188;500;100;3.418480873
189;600;100;3.398726702
190;700;100;3.583870173
191;800;100;3.537819386
192;900;100;3.539085627
193;1000;100;3.269198656
194;1100;100;3.253881931
195;1200;100;3.25935626
196;1300;100;3.257116556
197;0;0;3.203840256
198;100;0;3.182088375
199;200;0;3.273052216
200;300;0;3.361831903
201;400;0;3.377460003
202;500;0;3.439330816
203;600;0;3.498902321
204;700;0;3.593418121
205;800;0;3.51128912
206;900;0;3.525275707
207;1000;0;3.41979599
208;1100;0;3.387369394
209;1200;0;3.197589159
210;1300;0;3.203654289
